<<<<<<< HEAD
,Dummy Classifier,Logistic Regression,Multinomial Naive Bayes,SVC,Random Forest
fit_time,0.017166852951049805,0.15807361602783204,0.01793079376220703,0.12260169982910156,0.2540430068969727
score_time,0.00883784294128418,0.009508419036865234,0.008901071548461915,0.02520756721496582,0.017445850372314452
test_f1_weighted,0.1111819287440892,0.5744945367920864,0.4384142954929122,0.5228909877834752,0.6269724719232139
test_recall_weighted,0.26519680378810295,0.5736904409588635,0.45393818965881705,0.520251130934765,0.6298228554517398
test_precision_weighted,0.07033600639643191,0.5791121654325982,0.46507493692872093,0.5342832791012149,0.6340272539055845
=======
,Dummy Classifier,Logistic Regression,Multinomial Naive Bayes,SVC,Random Forest
fit_time,0.03620901107788086,0.40279369354248046,0.040198659896850585,0.24202485084533693,0.569798469543457
score_time,0.020598602294921876,0.02380380630493164,0.02160673141479492,0.055376195907592775,0.0439908504486084
test_f1_weighted,0.1111819287440892,0.5744945367920864,0.4384142954929122,0.5228909877834752,0.6343089296416495
test_recall_weighted,0.26519680378810295,0.5736904409588635,0.45393818965881705,0.520251130934765,0.6344565171437027
test_precision_weighted,0.07033600639643191,0.5791121654325982,0.465074936928721,0.5342832791012149,0.6449472211612887
>>>>>>> 34d2eb601ee1f8e3727ef5d7b30f0b9511484da7
